Episode    1 | Steps:  110 | AvgReward: -0.5907 | Result: COLLISION
Episode    2 | Steps:  438 | AvgReward: -0.5269 | Result: SUCCESS
Episode    3 | Steps:   41 | AvgReward: -0.9219 | Result: OUT_OF_ROAD
Episode    4 | Steps:  576 | AvgReward: -0.7328 | Result: COLLISION
Episode    5 | Steps:  459 | AvgReward: -0.4687 | Result: SUCCESS
Episode    6 | Steps:  103 | AvgReward: -0.1642 | Result: COLLISION
Episode    1 | Steps:  110 | AvgReward: -0.5918 | Result: COLLISION
Episode    2 | Steps:  249 | AvgReward: -0.8067 | Result: OUT_OF_ROAD
Episode    3 | Steps:  303 | AvgReward: -0.1768 | Result: SUCCESS
Episode    4 | Steps:  233 | AvgReward: -0.6780 | Result: COLLISION
Episode    1 | Steps:  201 | AvgReward: -1.5318 | Result: COLLISION
Episode    2 | Steps:   91 | AvgReward: -2.3022 | Result: COLLISION
Episode    1 | Steps:  465 | AvgReward: -0.6064 | Result: OUT_OF_ROAD
Episode    2 | Steps:   84 | AvgReward: -0.9091 | Result: OUT_OF_ROAD
Episode    1 | Steps:  201 | AvgReward: -1.5744 | Result: COLLISION
Episode    1 | Steps:  202 | AvgReward: -0.7412 | Result: COLLISION
Episode    2 | Steps:   70 | AvgReward: -0.8870 | Result: COLLISION
Episode    3 | Steps:   77 | AvgReward: -1.4640 | Result: OUT_OF_ROAD
Episode    4 | Steps:  484 | AvgReward: -1.1447 | Result: SUCCESS
Episode    5 | Steps:  141 | AvgReward: -0.0894 | Result: SUCCESS
Episode    6 | Steps:  218 | AvgReward: -1.3880 | Result: OUT_OF_ROAD
Episode    7 | Steps:  477 | AvgReward: -0.3513 | Result: COLLISION
Episode    8 | Steps:  178 | AvgReward: +0.0130 | Result: COLLISION
Episode    1 | Steps:  202 | AvgReward: -1.5431 | Result: COLLISION
Episode    2 | Steps:  143 | AvgReward: -1.5329 | Result: OUT_OF_ROAD
Episode    3 | Steps:   35 | AvgReward: -2.1179 | Result: OUT_OF_ROAD
Episode    1 | Steps:  110 | AvgReward: -0.5911 | Result: COLLISION
Episode    2 | Steps:  103 | AvgReward: -0.1337 | Result: COLLISION
Episode    3 | Steps:  235 | AvgReward: -0.4224 | Result: OUT_OF_ROAD
Episode    4 | Steps:  105 | AvgReward: -0.2329 | Result: COLLISION
Episode    5 | Steps:   52 | AvgReward: -0.6722 | Result: COLLISION
Episode    6 | Steps:   49 | AvgReward: -0.9410 | Result: OUT_OF_ROAD
Episode    1 | Steps:  110 | AvgReward: -0.5851 | Result: COLLISION
Episode    2 | Steps:  111 | AvgReward: -0.5074 | Result: COLLISION
Episode    3 | Steps:   80 | AvgReward: -1.0427 | Result: OUT_OF_ROAD
Episode    4 | Steps:   50 | AvgReward: -1.5123 | Result: OUT_OF_ROAD
Episode    5 | Steps:   26 | AvgReward: -1.6587 | Result: OUT_OF_ROAD
Episode    6 | Steps:   26 | AvgReward: -1.6524 | Result: OUT_OF_ROAD
Episode    1 | Steps:  110 | AvgReward: -0.7427 | Result: COLLISION
Episode    2 | Steps:  111 | AvgReward: -0.7122 | Result: COLLISION
Episode    3 | Steps:   83 | AvgReward: -1.1199 | Result: OUT_OF_ROAD
Episode    1 | Steps:  110 | AvgReward: -0.6465 | Result: COLLISION
Episode    2 | Steps:  439 | AvgReward: -1.1673 | Result: SUCCESS
Episode    1 | Steps:  110 | AvgReward: -0.7423 | Result: COLLISION
Episode    2 | Steps:  111 | AvgReward: -0.7661 | Result: COLLISION
Episode    3 | Steps:   45 | AvgReward: -0.9140 | Result: COLLISION
Episode    4 | Steps:   30 | AvgReward: -1.2351 | Result: COLLISION
Episode    1 | Steps:  111 | AvgReward: -0.7429 | Result: COLLISION
Episode    2 | Steps:  111 | AvgReward: -0.7371 | Result: COLLISION
Episode    3 | Steps:   36 | AvgReward: -0.9499 | Result: COLLISION
Episode    4 | Steps:   30 | AvgReward: -1.2740 | Result: COLLISION
Episode    5 | Steps:   32 | AvgReward: -1.3319 | Result: COLLISION
Episode    6 | Steps:   30 | AvgReward: -1.2658 | Result: COLLISION
Episode    7 | Steps:   32 | AvgReward: -1.2881 | Result: COLLISION
Episode    8 | Steps:   47 | AvgReward: -1.6952 | Result: OUT_OF_ROAD
Episode    9 | Steps:   33 | AvgReward: -1.3717 | Result: COLLISION
Episode   10 | Steps:   31 | AvgReward: -1.3075 | Result: COLLISION
Episode   11 | Steps:   31 | AvgReward: -1.2988 | Result: COLLISION
Episode   12 | Steps:   30 | AvgReward: -1.2681 | Result: COLLISION
Episode    1 | Steps:  110 | AvgReward: -0.5914 | Result: COLLISION
Episode    1 | Steps:  405 | AvgReward: -0.9439 | Result: OUT_OF_ROAD
Episode    2 | Steps:   46 | AvgReward: -0.7425 | Result: OUT_OF_ROAD
Episode    3 | Steps:  316 | AvgReward: -0.4942 | Result: COLLISION
Episode    4 | Steps:  118 | AvgReward: -0.6631 | Result: OUT_OF_ROAD
Episode    5 | Steps:  637 | AvgReward: -0.2801 | Result: SUCCESS
Episode    6 | Steps:   41 | AvgReward: -0.7847 | Result: OUT_OF_ROAD
